,Level,total_time,total_words,raito,uniq,a1,a2,b1,b2,c1,c2
47,2,2892.7569999999987,8292.0,2.8664695997624423,1231.0,1987.0,1378.0,977.0,1215.0,975.0,0.0
48,2,3163.2919999999704,9696.0,3.0651612307684815,1177.0,2752.0,1780.0,1263.0,1794.0,1298.0,0.0
49,3,4224.208999999993,9176.0,2.172241004173803,1740.0,1817.0,1395.0,890.0,1282.0,1058.0,0.0
50,2,1711.029000000001,4682.0,2.7363650762202147,610.0,1186.0,918.0,640.0,796.0,639.0,0.0
51,3,4089.064999999991,8901.0,2.1767812446121595,1172.0,2044.0,1455.0,1089.0,1418.0,1063.0,0.0
52,3,1968.505,5221.0,2.6522665677760533,597.0,1424.0,1144.0,791.0,1033.0,818.0,0.0
53,3,3862.8510000000006,8995.0,2.328590981117314,1547.0,2074.0,1607.0,1186.0,1508.0,1239.0,0.0
54,3,4508.9909999999945,12673.0,2.8106066301751356,1519.0,2870.0,2341.0,1536.0,2030.0,1646.0,0.0
55,3,3414.4439999999927,7904.0,2.3148717624304327,1271.0,1509.0,1409.0,1022.0,1287.0,899.0,0.0
56,3,3062.5700000000065,8196.0,2.676183728045394,1021.0,1900.0,1430.0,1030.0,1301.0,1022.0,0.0
57,3,3541.2439999999942,11175.0,3.1556707191032354,1148.0,2735.0,1908.0,1253.0,1632.0,1321.0,0.0
58,2,4581.135000000003,12950.0,2.826810386509018,1540.0,3416.0,2703.0,1842.0,2321.0,1963.0,0.0
59,3,3252.3799999999983,9108.0,2.800410776108574,1384.0,2247.0,1488.0,987.0,1347.0,1009.0,0.0
60,2,3771.5209999999947,11483.0,3.0446602312435793,1636.0,3182.0,2422.0,1742.0,2227.0,1838.0,0.0
61,3,3150.405999999992,9394.0,2.9818378964489094,1112.0,1945.0,1676.0,1019.0,1429.0,1096.0,0.0
62,1,3988.0299999999916,8010.0,2.00851046757422,1147.0,1709.0,1390.0,1142.0,1342.0,974.0,0.0
63,2,2497.116999999995,6569.0,2.630633646721404,793.0,1547.0,1207.0,771.0,988.0,787.0,0.0
64,3,5155.629000000002,12401.0,2.405332113695535,1928.0,2810.0,2176.0,1403.0,1933.0,1463.0,0.0
65,3,5128.925000000009,14585.0,2.8436758190069016,1712.0,3428.0,2443.0,1627.0,2285.0,1749.0,0.0
66,1,3708.095000000023,8537.0,2.3022603250455953,965.0,2198.0,1763.0,1304.0,1529.0,1208.0,0.0
67,1,2982.878000000002,5226.0,1.7519992436834482,670.0,1280.0,856.0,636.0,771.0,564.0,0.0
68,2,5351.00099999999,11933.0,2.230050041104463,1438.0,2946.0,2091.0,1433.0,1736.0,1456.0,0.0
69,2,3642.3039999999937,9167.0,2.5168135334118227,1118.0,2339.0,1624.0,1205.0,1603.0,1224.0,0.0
70,2,3198.9220000000064,7918.0,2.475208835976615,1081.0,1863.0,1257.0,924.0,1223.0,979.0,0.0
71,1,3583.3320000000062,8704.0,2.429024159636892,1133.0,2245.0,1601.0,1018.0,1473.0,1123.0,0.0
72,1,2644.0139999999974,5800.0,2.193634375612234,1076.0,1382.0,897.0,617.0,798.0,598.0,0.0
73,3,3030.4430000000048,7278.0,2.4016290687533104,1092.0,1404.0,1099.0,806.0,1171.0,927.0,0.0
74,3,4688.279999999996,11957.0,2.5504022797273223,1577.0,2864.0,2333.0,1579.0,2051.0,1741.0,0.0
75,2,3148.209999999975,7521.0,2.388976593048132,1367.0,1703.0,1245.0,831.0,1149.0,876.0,0.0
76,3,3864.9329999999654,7154.0,1.8510023330288168,1026.0,1400.0,1176.0,860.0,1154.0,985.0,0.0
77,2,4535.007999999996,8446.0,1.8624002427338622,992.0,1965.0,1462.0,1046.0,1183.0,952.0,0.0
